['Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00']
         713805 function calls (694656 primitive calls) in 7.886 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      310    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       54    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        2    0.000    0.000    0.059    0.030 http11.py:1(<module>)
      386    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       51    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
      171    0.000    0.000    0.002    0.000 typing.py:1454(<genexpr>)
    89/71    0.000    0.000    0.011    0.000 typing.py:508(__getitem__)
       24    0.000    0.000    0.000    0.000 _receivebuffer.py:87(maybe_extract_next_line)
      183    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      105    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.013    0.013 hashlib.py:1(<module>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        1    0.000    0.000    0.157    0.157 _client.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _eventloop.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:1966(__init_subclass__)
        1    0.000    0.000    0.008    0.008 from_thread.py:1(<module>)
        7    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
        1    0.000    0.000    0.028    0.028 _events.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _readers.py:1(<module>)
        1    0.000    0.000    0.046    0.046 ssl.py:956(_create)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      274    0.000    0.000    0.000    0.000 typing.py:2154(cast)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
      262    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       35    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       97    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        2    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        8    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       75    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1920(__init__)
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      164    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        3    0.000    0.000    0.000    0.000 _headers.py:150(normalize_and_validate)
      193    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       19    0.000    0.000    0.003    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.004    0.004 tls.py:1(<module>)
      470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.007    0.007 _headers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 request.py:2505(getproxies_environment)
       16    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.003    0.003 _state.py:1(<module>)
       45    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       18    0.000    0.000    0.003    0.000 typing.py:740(Optional)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        2    0.000    0.000    0.001    0.001 _tasks.py:1(<module>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        3    0.000    0.000    0.002    0.001 _exceptions.py:1(<module>)
      142    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.051    0.051 _connection.py:1(<module>)
        1    0.000    0.000    0.006    0.006 lowlevel.py:1(<module>)
        2    0.000    0.000    0.004    0.002 connection_pool.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _models.py:53(enforce_headers)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
      114    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
        1    0.000    0.000    0.005    0.005 stapled.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fileio.py:209(Path)
      128    0.000    0.000    0.000    0.000 _models.py:166(encoding)
        2    0.000    0.000    0.000    0.000 _urlparse.py:213(urlparse)
        2    0.000    0.000    0.377    0.188 _api.py:1(<module>)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       76    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
       15    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
       15    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    2.618    2.618 financial_enhanced.py:6(get_financial_data)
      143    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.064    0.064 _fileio.py:1(<module>)
        1    0.000    0.000    0.026    0.026 dammit.py:67(EntitySubstitution)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.261    0.261 connection.py:105(_connect)
        1    0.000    0.000    0.404    0.404 __init__.py:122(__init__)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        2    0.000    0.000    0.026    0.013 _models.py:1(<module>)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:443(__setattr__)
        8    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
      322    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
      182    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        7    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_bound_method)
      243    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        2    0.000    0.000    0.032    0.016 utils.py:1(<module>)
       68    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
        2    0.000    0.000    0.004    0.002 _subprocesses.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _client.py:189(__init__)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      400    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
       21    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
        2    0.000    0.000    0.001    0.000 _models.py:1270(info)
       56    0.000    0.000    0.003    0.000 _htmlparser.py:90(handle_startendtag)
       30    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
        8    0.000    0.000    0.002    0.000 typing.py:1822(__new__)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.002    0.002 _connection.py:139(Connection)
        1    0.000    0.000    0.005    0.005 sync.py:1(<module>)
       27    0.000    0.000    0.001    0.000 _readers.py:64(_decode_header_lines)
        8    0.000    0.000    0.002    0.000 _htmlparser.py:182(handle_charref)
       14    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
        1    0.000    0.000    1.170    1.170 _client.py:1001(_send_single_request)
      193    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
    57/50    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.079    0.079 request.py:1(<module>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
        7    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
      122    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       40    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       17    0.000    0.000    0.001    0.000 inspect.py:1456(formatannotation)
       74    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       81    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        2    0.000    0.000    0.000    0.000 _typedattr.py:25(__init_subclass__)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      331    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       40    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _writers.py:1(<module>)
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        2    0.000    0.000    0.017    0.009 readers.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       57    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        4    0.000    0.000    0.001    0.000 typing.py:746(Literal)
       14    0.000    0.000    0.005    0.000 dataclasses.py:661(_cmp_fn)
        6    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x74914a311da0}
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
        1    0.000    0.000    0.009    0.009 header.py:1(<module>)
        1    0.000    0.000    0.060    0.060 css_parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _legacy.py:1(<module>)
        1    0.000    0.000    0.063    0.063 client.py:1(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:1816(getattr_static)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
       73    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.904    0.904 http11.py:65(handle_request)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:2916(_check_generic)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       10    0.000    0.000    0.001    0.000 inspect.py:2799(__str__)
    49/48    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.002    0.002 abc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       67    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        6    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       57    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       86    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       15    0.000    0.000    0.001    0.000 _util.py:108(__new__)
       60    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
        2    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
       16    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
       10    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
        7    0.000    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
       84    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       96    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
      142    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       37    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        1    0.000    0.000    0.131    0.131 _auth.py:1(<module>)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      189    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    1.166    1.166 default.py:230(handle_request)
       32    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        1    0.000    0.000    0.215    0.215 sync.py:188(connect_tcp)
        1    0.000    0.000    0.214    0.214 socket.py:810(create_connection)
       86    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
        2    0.000    0.000    0.002    0.001 http2.py:1(<module>)
       74    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        2    0.000    0.000    0.000    0.000 interfaces.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        2    0.000    0.000    0.003    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 message.py:73(_parseparam)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        9    0.000    0.000    0.001    0.000 typing.py:1533(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 message.py:656(_get_params_preserve)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
      130    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
      103    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        9    0.000    0.000    0.000    0.000 _connection.py:308(_get_io_object)
        8    0.000    0.000    0.004    0.000 inspect.py:3050(from_callable)
      7/3    0.000    0.000    0.000    0.000 typing.py:1393(__repr__)
       44    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
       27    0.000    0.000    0.000    0.000 _readers.py:43(_obsolete_line_fold)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.404    0.404 parser.py:104(feed)
       18    0.000    0.000    0.000    0.000 inspect.py:1813(_shadowed_dict)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
        3    0.000    0.000    0.002    0.001 typing.py:2761(_make_nmtuple)
       13    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.060    0.060 to_thread.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       76    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
        7    0.000    0.000    0.002    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
       21    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        2    0.000    0.000    0.012    0.006 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x74914aacd800}
        7    0.000    0.000    0.002    0.000 dataclasses.py:882(_hash_add)
        8    0.000    0.000    0.000    0.000 enum.py:383(__init__)
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       76    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
        1    0.000    0.000    0.006    0.006 _multipart.py:1(<module>)
        1    0.000    0.000    0.004    0.004 string.py:1(<module>)
    16/10    0.000    0.000    0.000    0.000 typing.py:237(_type_repr)
        7    0.000    0.000    0.000    0.000 inspect.py:2461(_descriptor_get)
        7    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    1.166    1.166 connection_pool.py:199(handle_request)
        2    0.000    0.000    0.000    0.000 _testing.py:1(<module>)
        2    0.000    0.000    0.002    0.001 socks_proxy.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _resources.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.061    0.061 ssl.py:683(create_default_context)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.173    0.173 socket.py:946(getaddrinfo)
        2    0.000    0.000    0.000    0.000 mock.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    7.887    7.887 financial_enhanced.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _models.py:1249(__init__)
        2    0.000    0.000    0.000    0.000 message.py:529(get_all)
       19    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
        1    0.000    0.000    0.011    0.011 core.py:21(where)
        3    0.000    0.000    0.001    0.000 _urls.py:77(__init__)
        1    0.000    0.000    0.000    0.000 message.py:699(get_param)
        1    0.000    0.000    0.047    0.047 sync.py:144(start_tls)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1680(extract_cookies)
        9    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
       13    0.000    0.000    0.001    0.000 typing.py:1519(__getitem__)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        7    0.000    0.000    0.000    0.000 inspect.py:2133(_signature_is_functionlike)
       16    0.000    0.000    0.000    0.000 inspect.py:1458(repl)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        8    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:423(_is_dunder)
        1    0.000    0.000    1.165    1.165 connection.py:69(handle_request)
        1    0.000    0.000    0.002    0.002 request.py:315(__init__)
        1    0.000    0.000    0.000    0.000 _models.py:252(get_list)
        6    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
        1    0.000    0.000    2.172    2.172 _api.py:39(request)
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.002    0.002 _impl.py:1(<module>)
        7    0.000    0.000    0.000    0.000 inspect.py:3066(replace)
        1    0.000    0.000    0.311    0.311 default.py:136(__init__)
    53/23    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
       74    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        8    0.000    0.000    0.004    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _urlparse.py:497(quote)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 _subprocesses.py:10(Process)
        1    0.000    0.000    0.000    0.000 _client.py:156(close)
      9/7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.000    0.000 connection_pool.py:409(close)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(ZipFile)
        1    0.000    0.000    0.005    0.005 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:270(_assign_requests_to_connections)
        1    0.000    0.000    0.312    0.312 _client.py:639(__init__)
       44    0.000    0.000    0.000    0.000 inspect.py:2777(kind)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 charset.py:206(__init__)
        1    0.000    0.000    0.000    0.000 lowlevel.py:90(RunVar)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 anyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        7    0.000    0.000    0.000    0.000 _headers.py:205(get_comma_header)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 http11.py:36(HTTPConnectionState)
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        2    0.000    0.000    0.051    0.025 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _events.py:137(__init__)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _adapters.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
       20    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.072    0.072 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.003    0.003 string.py:69(__init_subclass__)
      187    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
        3    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
        6    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.046    0.046 feedparser.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 http11.py:43(AsyncHTTP11Connection)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.042    0.042 _policybase.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        5    0.000    0.000    0.022    0.004 element.py:2013(find_all)
        1    0.000    0.000    0.000    0.000 _base.py:325(Future)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 __init__.py:189(Path)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       41    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
        5    0.000    0.000    0.000    0.000 functools.py:841(_is_union_type)
        1    0.000    0.000    0.000    0.000 _abnf.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
       35    0.000    0.000    0.000    0.000 _models.py:67(_normalize_header_key)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        4    0.000    0.000    0.000    0.000 typing.py:1439(__init__)
       50    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
       35    0.000    0.000    0.000    0.000 _models.py:74(_normalize_header_value)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        2    0.000    0.000    0.000    0.000 idna.py:155(encode)
        1    0.000    0.000    0.000    0.000 http11.py:238(_response_closed)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        2    0.000    0.000    0.000    0.000 _writers.py:63(__call__)
        1    0.000    0.000    0.000    0.000 tls.py:251(TLSListener)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        9    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 _utils.py:8(is_socket_readable)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 _htmlparser.py:46(__init__)
        1    0.000    0.000    0.002    0.002 request.py:339(full_url)
        2    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
       23    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       14    0.000    0.000    0.000    0.000 dataclasses.py:349(__set_name__)
        1    0.000    0.000    0.000    0.000 functools.py:732(_compose_mro)
       23    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 from_thread.py:145(BlockingPortal)
       23    0.000    0.000    0.000    0.000 inspect.py:371(isfunction)
        1    0.000    0.000    0.000    0.000 _fileio.py:29(AsyncFile)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
        2    0.000    0.000    0.000    0.000 typing_extensions.py:2793(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_256}
       19    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.001    0.001 _status_codes.py:8(codes)
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
