['Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00']
         713805 function calls (694656 primitive calls) in 7.886 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9252    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
     3473    0.003    0.000    0.018    0.000 element.py:2303(search)
      889    0.003    0.000    0.007    0.000 contextlib.py:141(__exit__)
     6381    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      265    0.003    0.000    0.644    0.002 http11.py:196(_receive_response_body)
     1402    0.003    0.000    0.006    0.000 typing.py:1188(__setattr__)
        1    0.003    0.003    0.003    0.003 connection_pool.py:43(ConnectionPool)
      300    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     5729    0.003    0.000    0.018    0.000 __init__.py:122(unescape)
      317    0.003    0.000    0.114    0.000 __init__.py:280(_compile)
    260/6    0.003    0.000    0.519    0.087 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      224    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
     2679    0.003    0.000    0.004    0.000 __init__.py:523(string_container)
     1786    0.002    0.000    0.012    0.000 element.py:2240(search_tag)
        5    0.002    0.000    0.022    0.004 element.py:792(_find_all)
      400    0.002    0.000    0.006    0.000 typing.py:175(_type_check)
      265    0.002    0.000    0.684    0.003 _models.py:884(iter_bytes)
      311    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
      269    0.002    0.000    0.003    0.000 _state.py:318(_fire_state_triggered_transitions)
     2578    0.002    0.000    0.005    0.000 _htmlparser.py:178(handle_data)
      231    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      218    0.002    0.000    0.014    0.000 typing.py:1242(__init__)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     5430    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     8820    0.002    0.000    0.003    0.000 _parser.py:256(match)
     9104    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       29    0.002    0.000    1.194    0.041 __init__.py:1(<module>)
      300    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      300    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      890    0.002    0.000    0.005    0.000 contextlib.py:132(__enter__)
   519/12    0.002    0.000    0.514    0.043 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    231/6    0.002    0.000    0.517    0.086 <frozen importlib._bootstrap>:911(_load_unlocked)
      265    0.002    0.000    0.002    0.000 _events.py:299(__init__)
     2654    0.002    0.000    0.003    0.000 element.py:1371(is_empty_element)
      265    0.002    0.000    0.650    0.002 _models.py:935(iter_raw)
      237    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       13    0.002    0.000    0.015    0.001 enum.py:919(_convert_)
      204    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     1586    0.002    0.000    0.004    0.000 typing.py:1134(_is_dunder)
       89    0.002    0.000    0.036    0.000 dataclasses.py:449(_create_fn)
      572    0.002    0.000    0.003    0.000 _receivebuffer.py:77(maybe_extract_at_most)
       13    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     8285    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      306    0.002    0.000    1.460    0.005 ssl.py:1226(recv)
     2699    0.002    0.000    0.003    0.000 __init__.py:773(handle_data)
      408    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      300    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2761    0.002    0.000    0.003    0.000 {built-in method builtins.max}
       28    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     1522    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      306    0.002    0.000    1.458    0.005 ssl.py:1095(read)
      213    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       13    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
      204    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      269    0.002    0.000    0.006    0.000 _state.py:275(process_event)
